event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
260308929,true,1994-04-23 22:00:00.000,14.3283729785,45.8891418685,"aa","capture","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308930,true,1994-04-24 16:40:00.000,14.3717452361,45.8707180244,"ia","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308931,true,1994-04-25 14:45:00.000,14.3985172069,45.8665880979,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308932,true,1994-04-26 12:30:00.000,14.4121482528,45.8869491947,"nm","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308933,true,1994-04-28 12:00:00.000,14.4125988361,45.87475943,"ia","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308934,true,1994-04-29 09:30:00.000,14.4047117592,45.8895650575,"ia","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308935,true,1994-05-01 11:30:00.000,14.4115092917,45.8864510248,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308936,true,1994-05-07 17:00:00.000,14.5140544398,45.83632009,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308937,true,1994-05-12 12:00:00.000,14.3762808762,45.8682684589,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308938,true,1994-05-13 19:00:00.000,14.3908708866,45.8591243455,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308939,true,1994-05-16 13:00:00.000,14.3007997542,45.9044977285,"ia","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308940,true,1994-05-18 09:00:00.000,14.2817647509,45.9313730575,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308941,true,1994-05-21 16:30:00.000,14.2948921577,45.9130093467,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
260308942,true,1994-05-24 14:00:00.000,14.4033059197,45.8704372978,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999"
