item,itemLabel
http://www.wikidata.org/entity/Q717594,James Potter
http://www.wikidata.org/entity/Q841669,Cedric Diggory
http://www.wikidata.org/entity/Q754837,Lily Potter
http://www.wikidata.org/entity/Q1963397,Petunia Dursley
http://www.wikidata.org/entity/Q2499969,Bane
http://www.wikidata.org/entity/Q3278733,Poppy Pomfrey
http://www.wikidata.org/entity/Q3512006,Alice Longbottom
http://www.wikidata.org/entity/Q3740882,Ted Tonks
http://www.wikidata.org/entity/Q3744404,Rose Granger-Weasley
http://www.wikidata.org/entity/Q5801201,Dedalus Diggle
http://www.wikidata.org/entity/Q5885882,Grogan Stump
http://www.wikidata.org/entity/Q6133527,Mr. Granger
http://www.wikidata.org/entity/Q9640654,Avery
http://www.wikidata.org/entity/Q9617281,Anthony Goldstein
http://www.wikidata.org/entity/Q10269234,Damocles Rowle
http://www.wikidata.org/entity/Q10364010,Roger Davies
http://www.wikidata.org/entity/Q10394585,Corban Yaxley
http://www.wikidata.org/entity/Q179641,Draco Malfoy
http://www.wikidata.org/entity/Q11285688,Ernie Macmillan
http://www.wikidata.org/entity/Q716941,Dolores Umbridge
http://www.wikidata.org/entity/Q2345138,Buckbeak
http://www.wikidata.org/entity/Q2350610,Ernie Prang
http://www.wikidata.org/entity/Q3244512,Harry Potter
http://www.wikidata.org/entity/Q3174865,Bill Weasley
http://www.wikidata.org/entity/Q3221667,Parvati Patil
http://www.wikidata.org/entity/Q3278526,Peeves
http://www.wikidata.org/entity/Q3432058,Pansy Parkinson
http://www.wikidata.org/entity/Q14906576,Fang
http://www.wikidata.org/entity/Q4004524,Griphook
http://www.wikidata.org/entity/Q4957115,Rolanda Hooch
http://www.wikidata.org/entity/Q15269544,Isla Black
http://www.wikidata.org/entity/Q174009,Hermione Granger
http://www.wikidata.org/entity/Q176132,Lord Voldemort
http://www.wikidata.org/entity/Q177439,Rubeus Hagrid
http://www.wikidata.org/entity/Q3256600,Albus Severus Potter
http://www.wikidata.org/entity/Q15269548,Bob Hitchens
http://www.wikidata.org/entity/Q15269426,Roxanne Weasley
http://www.wikidata.org/entity/Q15269542,Elladora Black
http://www.wikidata.org/entity/Q15269565,Herbert Burke
http://www.wikidata.org/entity/Q15272691,Daphne Greengrass
http://www.wikidata.org/entity/Q15272796,Cygnus Black I
http://www.wikidata.org/entity/Q15273054,Beedle the Bard
http://www.wikidata.org/entity/Q15720750,Ignatius Prewett
http://www.wikidata.org/entity/Q5700415,Dudley Dursley
http://www.wikidata.org/entity/Q15269001,Mrs. Evans
http://www.wikidata.org/entity/Q9010722,James Sirius Potter
http://www.wikidata.org/entity/Q712548,Albus Percival Wulfric Brian Dumbledore
http://www.wikidata.org/entity/Q2559402,Ethelred the Ever-Ready
http://www.wikidata.org/entity/Q15269305,Callidora Black
http://www.wikidata.org/entity/Q15269318,Charis Black
http://www.wikidata.org/entity/Q15269516,Phineas Black
http://www.wikidata.org/entity/Q15269539,Sirius Black I
http://www.wikidata.org/entity/Q15272723,Cygnus Black III
http://www.wikidata.org/entity/Q15272848,Hesper Gamp
http://www.wikidata.org/entity/Q15720851,King Ragnuk the First
http://www.wikidata.org/entity/Q3745681,Lily Luna Potter
http://www.wikidata.org/entity/Q192179,Minerva McGonagall
http://www.wikidata.org/entity/Q3422924,Moaning Myrtle
http://www.wikidata.org/entity/Q3255012,Molly Weasley
http://www.wikidata.org/entity/Q15269000,Mr. Evans
http://www.wikidata.org/entity/Q15269336,Arcturus Black
http://www.wikidata.org/entity/Q15269313,Harfang Longbottom
http://www.wikidata.org/entity/Q15272727,Druella Rosier
http://www.wikidata.org/entity/Q15272913,Alphard Black
http://www.wikidata.org/entity/Q15272941,Marius Black
http://www.wikidata.org/entity/Q18285492,Bowman Wright
